"id","stock_id","price","trade_time_stamp"
1,10,"15.99","2025-08-02 12:41:17.648"
2,14,"4.122","2025-08-02 12:41:13.184"
3,16,"2.392","2025-08-02 12:40:41.845"
4,17,"0.3786","2025-08-02 12:41:12.567"
5,7,"0.19933","2025-08-02 12:41:17.483"
6,13,"0.3266","2025-08-02 12:41:15.746"
7,9,"3.552","2025-08-02 12:40:42.001"
8,1,"113680.01","2025-08-02 12:41:17.463"
9,3,"753.41","2025-08-02 12:41:17.954"
10,4,"164.07","2025-08-02 12:41:18.298"
11,6,"0.7129","2025-08-02 12:41:17.51"
12,5,"2.9345","2025-08-02 12:41:17.421"
13,20,"0.5481","2025-08-02 12:41:14.036"
14,8,"21.49","2025-08-02 12:40:41.704"
15,2,"3508.32","2025-08-02 12:41:18.316"
16,15,"2.301","2025-08-02 12:41:18.122"
17,12,"106.82","2025-08-02 12:41:17.494"
18,10,"16","2025-08-02 12:41:25.835"
19,14,"4.122","2025-08-02 12:41:13.184"
20,16,"2.392","2025-08-02 12:41:18.751"
21,17,"0.3786","2025-08-02 12:41:28.206"
22,7,"0.19935","2025-08-02 12:41:28.218"
23,13,"0.3267","2025-08-02 12:41:25.717"
24,9,"3.551","2025-08-02 12:41:25.769"
25,1,"113680.01","2025-08-02 12:41:28.193"
26,3,"753.5","2025-08-02 12:41:27.296"
27,4,"164.11","2025-08-02 12:41:27.195"
28,6,"0.713","2025-08-02 12:41:28.109"
29,5,"2.9342","2025-08-02 12:41:28.319"
30,20,"0.5483","2025-08-02 12:41:25.836"
31,8,"21.49","2025-08-02 12:40:41.704"
32,2,"3508.39","2025-08-02 12:41:28.064"
33,15,"2.301","2025-08-02 12:41:20.106"
34,12,"106.84","2025-08-02 12:41:27.542"
35,10,"15.99","2025-08-02 12:41:36.947"
36,14,"4.12","2025-08-02 12:41:33.419"
37,16,"2.393","2025-08-02 12:41:37.482"
38,17,"0.3786","2025-08-02 12:41:36.967"
39,7,"0.19935","2025-08-02 12:41:37.487"
40,13,"0.3267","2025-08-02 12:41:36.159"
41,9,"3.552","2025-08-02 12:41:37.187"
42,1,"113680.01","2025-08-02 12:41:38.504"
43,3,"753.49","2025-08-02 12:41:37.499"
44,4,"164.13","2025-08-02 12:41:38.237"
45,6,"0.713","2025-08-02 12:41:36.859"
46,5,"2.9345","2025-08-02 12:41:37.719"
47,20,"0.5484","2025-08-02 12:41:36.948"
48,8,"21.49","2025-08-02 12:41:36.95"
49,2,"3508.66","2025-08-02 12:41:38.307"
50,15,"2.301","2025-08-02 12:41:36.687"
51,12,"106.85","2025-08-02 12:41:37.319"
52,10,"15.99","2025-08-02 12:41:36.947"
53,14,"4.12","2025-08-02 12:41:33.419"
54,16,"2.393","2025-08-02 12:41:37.482"
55,17,"0.3786","2025-08-02 12:41:36.967"
56,7,"0.19936","2025-08-02 12:41:48.587"
57,13,"0.3266","2025-08-02 12:41:46.752"
58,9,"3.552","2025-08-02 12:41:48.321"
59,1,"113680.01","2025-08-02 12:41:48.239"
60,3,"753.55","2025-08-02 12:41:48.142"
61,4,"164.12","2025-08-02 12:41:47.39"
62,6,"0.713","2025-08-02 12:41:48.568"
63,5,"2.9345","2025-08-02 12:41:48.538"
64,20,"0.5484","2025-08-02 12:41:47.764"
65,8,"21.5","2025-08-02 12:41:48.468"
66,2,"3508.66","2025-08-02 12:41:47.898"
67,15,"2.301","2025-08-02 12:41:36.687"
68,12,"106.87","2025-08-02 12:41:48.02"
69,10,"16","2025-08-02 12:41:55.701"
70,14,"4.122","2025-08-02 12:41:55.818"
71,16,"2.394","2025-08-02 12:41:48.673"
72,17,"0.3786","2025-08-02 12:41:36.967"
73,7,"0.19939","2025-08-02 12:41:57.665"
74,13,"0.3267","2025-08-02 12:41:58.251"
75,9,"3.552","2025-08-02 12:41:55.233"
76,1,"113680.01","2025-08-02 12:41:58.574"
77,3,"753.59","2025-08-02 12:41:53.649"
78,4,"164.15","2025-08-02 12:41:56.915"
79,6,"0.7132","2025-08-02 12:41:55.771"
80,5,"2.9351","2025-08-02 12:41:56.061"
81,20,"0.5485","2025-08-02 12:41:55.781"
82,8,"21.5","2025-08-02 12:41:54.841"
83,2,"3509.15","2025-08-02 12:41:57.703"
84,15,"2.301","2025-08-02 12:41:36.687"
85,12,"106.87","2025-08-02 12:41:57.722"
86,10,"15.99","2025-08-02 12:42:07.639"
87,14,"4.121","2025-08-02 12:42:06.627"
88,16,"2.393","2025-08-02 12:42:06.659"
89,17,"0.3786","2025-08-02 12:42:06.605"
90,7,"0.19931","2025-08-02 12:42:07.253"
91,13,"0.3267","2025-08-02 12:42:06.614"
92,9,"3.552","2025-08-02 12:42:06.575"
93,1,"113674.49","2025-08-02 12:42:07.495"
94,3,"753.47","2025-08-02 12:42:07.632"
95,4,"164.12","2025-08-02 12:42:07.054"
96,6,"0.7129","2025-08-02 12:42:06.609"
97,5,"2.9327","2025-08-02 12:42:07.026"
98,20,"0.5485","2025-08-02 12:42:02.458"
99,8,"21.48","2025-08-02 12:42:07.703"
100,2,"3508.31","2025-08-02 12:42:07.59"
101,15,"2.301","2025-08-02 12:42:05.323"
102,12,"106.86","2025-08-02 12:42:05.326"
103,10,"15.98","2025-08-02 12:42:13.425"
104,14,"4.117","2025-08-02 12:42:12.465"
105,16,"2.391","2025-08-02 12:42:16.782"
106,17,"0.3781","2025-08-02 12:42:16.512"
107,7,"0.19916","2025-08-02 12:42:16.526"
108,13,"0.3266","2025-08-02 12:42:16.835"
109,9,"3.547","2025-08-02 12:42:12.593"
110,1,"113644","2025-08-02 12:42:18.062"
111,3,"753.1","2025-08-02 12:42:17.745"
112,4,"163.99","2025-08-02 12:42:18.109"
113,6,"0.712","2025-08-02 12:42:17.361"
114,5,"2.9306","2025-08-02 12:42:17.319"
115,20,"0.5477","2025-08-02 12:42:17.039"
116,8,"21.47","2025-08-02 12:42:11.648"
117,2,"3505.49","2025-08-02 12:42:17.616"
118,15,"2.299","2025-08-02 12:42:12.026"
119,12,"106.78","2025-08-02 12:42:18.03"
120,10,"15.97","2025-08-02 12:42:27.048"
121,14,"4.115","2025-08-02 12:42:28.07"
122,16,"2.389","2025-08-02 12:42:28.123"
123,17,"0.378","2025-08-02 12:42:27.988"
124,7,"0.19905","2025-08-02 12:42:28.367"
125,13,"0.3265","2025-08-02 12:42:24.26"
126,9,"3.546","2025-08-02 12:42:28.032"
127,1,"113640.01","2025-08-02 12:42:28.277"
128,3,"753.1","2025-08-02 12:42:28.09"
129,4,"163.91","2025-08-02 12:42:28.275"
130,6,"0.7116","2025-08-02 12:42:28.271"
131,5,"2.9291","2025-08-02 12:42:28.257"
132,20,"0.5477","2025-08-02 12:42:26.927"
133,8,"21.46","2025-08-02 12:42:26.914"
134,2,"3503.95","2025-08-02 12:42:28.125"
135,15,"2.298","2025-08-02 12:42:26.924"
136,12,"106.78","2025-08-02 12:42:27.071"
137,10,"15.97","2025-08-02 12:42:27.048"
138,14,"4.114","2025-08-02 12:42:33.91"
139,16,"2.388","2025-08-02 12:42:35.213"
140,17,"0.3779","2025-08-02 12:42:37.14"
141,7,"0.19902","2025-08-02 12:42:37.633"
142,13,"0.3266","2025-08-02 12:42:37.245"
143,9,"3.545","2025-08-02 12:42:35.829"
144,1,"113632.44","2025-08-02 12:42:38.478"
145,3,"752.94","2025-08-02 12:42:38.004"
146,4,"163.9","2025-08-02 12:42:38.553"
147,6,"0.7114","2025-08-02 12:42:38.206"
148,5,"2.9291","2025-08-02 12:42:38.625"
149,20,"0.5474","2025-08-02 12:42:34.292"
150,8,"21.46","2025-08-02 12:42:26.914"
151,2,"3503.56","2025-08-02 12:42:37.781"
152,15,"2.296","2025-08-02 12:42:34.069"
153,12,"106.78","2025-08-02 12:42:36.664"
154,10,"15.96","2025-08-02 12:42:48.348"
